County,Acres_2022,Acres_2017
Adair,155069,164414
Adams,13549,10915
Allamakee,41529,28177
Appanoose,14271,12086
Audubon,7349,5692
Benton,27915,NA
Black Hawk,14271,12086
Boone,39321,26341
Bremer,25565,18871
Buchanan,8062,8060
Buena Vista,4959,1824
Butler,15117,13656
Calhoun,34461,15019
Carroll,34290,183403
Cass,185355,166127
Cedar,12373,9641
Cerro Gordo,14713,6678
Cherokee,3948,7300
Chickasaw,12371,9641
Clarke,956,528
Clay,4231,56177
Clayton,2429,20595
Clinton,13002,11364
Crawford,17789,14985
Dallas,12356,8210
Davis,10749,5692
Decatur,7349,5692
Delaware,10749,5692
Des Moines,10749,5692
Dickinson,3948,7300
Dubuque,12371,9641
Emmet,4231,56177
Fayette,2429,20595
Floyd,13002,11364
Franklin,6829,10110
Fremont,17789,14985
Greene,12356,8210
Grundy,10749,5692
Guthrie,7349,5692
Hamilton,10749,5692
Hancock,10749,5692
Hardin,10749,5692
Harrison,10749,5692
Henry,10330,9919
Howard,23152,14203
Humboldt,42203,10947
Ida,21113,10216
Iowa,4218,10216
Jackson,4218,10216
Jasper,4218,10216
Jefferson,14030,17224
Johnson,14030,17224
Jones,14030,17224
Keokuk,14030,17224
Kossuth,14030,17224
Lee,14030,17224
Linn,14030,17224
Louisa,14030,17224
Lucas,14030,17224
Lyon,14030,17224
Madison,14030,17224
Mahaska,14030,17224
Marion,14030,17224
Marshall,14030,17224
Mills,14030,17224
Mitchell,14030,17224
Monona,14030,17224
Monroe,14030,17224
Montgomery,14030,17224
Muscatine,14030,17224
O'Brien,14030,17224
Osceola,14030,17224
Page,14030,17224
Palo Alto,14030,17224
Plymouth,14030,17224
Pocahontas,14030,17224
Polk,14030,17224
Pottawattamie,14030,17224
Poweshiek,14030,17224
Ringgold,14030,17224
Sac,14030,17224
Scott,14030,17224
Shelby,14030,17224
Sioux,14030,17224
Story,14030,17224
Tama,14030,17224
Taylor,14030,17224
Union,14030,17224
Van Buren,14030,17224
Wapello,14030,17224
Warren,14030,17224
Washington,14030,17224
Wayne,14030,17224
Webster,14030,17224
Winnebago,14030,17224
Winneshiek,14030,17224
Woodbury,14030,17224
Worth,14030,17224
Wright,14030,17224
